citation_validation,difficulty,error,generated_answer,latency_s,metric_abstention_accuracy,metric_citation_accuracy,metric_citation_coverage,metric_context_coverage,metric_context_precision,metric_context_recall,metric_retrieval_mrr,metric_retrieval_precision_at_5,metric_retrieval_recall_at_5,metric_subtask_coverage,metric_tool_call_efficiency,metric_tool_selection_accuracy,metric_workflow_success_rate,question,question_id,response_status,scope,success,target,topic
,medium,,,0.5320896999910474,,,,,,,1.0,0.6,0.75,,,,1.0,Vettem egy használt autót Magyarországon. Milyen ügyintézési teendőim vannak?,AUTO_001,n/a,subflow,True,rag/query_to_rerank,vehicle
,medium,,,0.07911540000350215,,,,,,,1.0,0.2,0.5,,,,1.0,"Mennyi időm van az autó átírására, és milyen következményei lehetnek a határidő elmulasztásának?",AUTO_002,n/a,subflow,True,rag/query_to_rerank,vehicle
,simple,,,0.09126760001527146,,,,,,,1.0,0.2,0.5,,,,1.0,Milyen dokumentumok szükségesek a gépjármű átírásához?,AUTO_003,n/a,subflow,True,rag/query_to_rerank,vehicle
,medium,,,0.08042300000670366,,,,,,,0.08333333333333333,0.0,0.0,,,,1.0,"Mikor szükséges eredetiségvizsgálat, és milyen kivételek léteznek?",AUTO_004,n/a,subflow,True,rag/query_to_rerank,vehicle
,medium,,,0.08547300001373515,,,,,,,0.5,0.2,0.5,,,,1.0,Mikor kell kötelező gépjármű-felelősségbiztosítást kötnöm?,AUTO_005,n/a,subflow,True,rag/query_to_rerank,vehicle
,medium,,,0.2181896999827586,,,,,,,,,,,,,1.0,Milyen költségekkel kell számolnom egy használt autó megvásárlása és átírása során?,AUTO_006,n/a,subflow,True,rag/query_to_rerank,vehicle
,simple,,,0.16459479997865856,,,,,,,1.0,0.2,0.5,,,,1.0,Hogyan határozzák meg a gépjármű vagyonszerzési illetékét?,AUTO_007,n/a,subflow,True,rag/query_to_rerank,vehicle
,medium,,,0.4573678999731783,,,,,,,1.0,0.4,1.0,,,,1.0,"Mi a teendő, ha a megvásárolt autónak hiányzik a törzskönyve?",AUTO_008,n/a,subflow,True,rag/query_to_rerank,vehicle
,simple,,,0.46350370001164265,,,,,,,,,,,,,1.0,Hogyan tudom ellenőrizni egy használt autó előéletét és kilométeróra-adatait?,AUTO_009,n/a,subflow,True,rag/query_to_rerank,vehicle
,complex,,,0.3571924999996554,,,,,,,,,,,,,1.0,"Készíts teljes, időrendi ügyintézési tervet egy használt autó megvásárlása után, a dokumentumokkal, határidőkkel és költségekkel együtt!",AUTO_010,n/a,subflow,True,rag/query_to_rerank,vehicle
,medium,,,0.43921909999335185,,,,,,,0.06666666666666667,0.0,0.0,,,,1.0,Elvesztettem a munkámat. Milyen ügyintézési teendőim vannak?,WORK_001,n/a,subflow,True,rag/query_to_rerank,employment
,medium,,,0.11716900000465102,,,,,,,1.0,0.2,0.5,,,,1.0,Hogyan tudok álláskeresőként nyilvántartásba kerülni Magyarországon?,WORK_002,n/a,subflow,True,rag/query_to_rerank,employment
,simple,,,0.2747617000131868,,,,,,,1.0,0.2,0.5,,,,1.0,Milyen feltételekkel lehetek jogosult álláskeresési járadékra?,WORK_003,n/a,subflow,True,rag/query_to_rerank,employment
,medium,,,0.49025659999460913,,,,,,,0.5,0.2,0.25,,,,1.0,"Mennyi ideig kaphatok álláskeresési járadékot, és hogyan számítják ki az összegét?",WORK_004,n/a,subflow,True,rag/query_to_rerank,employment
,simple,,,0.14950460000545718,,,,,,,0.3333333333333333,0.2,0.5,,,,1.0,Milyen dokumentumokat kell megkapnom a munkáltatómtól a munkaviszony megszűnésekor?,WORK_005,n/a,subflow,True,rag/query_to_rerank,employment
,simple,,,0.2776444999908563,,,,,,,1.0,0.2,0.5,,,,1.0,"Mikor járhat végkielégítés, és mitől függ az összege?",WORK_006,n/a,subflow,True,rag/query_to_rerank,employment
,simple,,,0.4869565000117291,,,,,,,0.09090909090909091,0.0,0.0,,,,1.0,"Mi történik a ki nem vett szabadságommal, amikor megszűnik a munkaviszonyom?",WORK_007,n/a,subflow,True,rag/query_to_rerank,employment
,simple,,,0.4842820000194479,,,,,,,0.3333333333333333,0.2,0.5,,,,1.0,"Mi a különbség a munkavállalói felmondás, a munkáltatói felmondás és a közös megegyezés között?",WORK_008,n/a,subflow,True,rag/query_to_rerank,employment
,medium,,,0.5228041000082158,,,,,,,1.0,0.2,0.25,,,,1.0,"Mi történik az egészségügyi szolgáltatásra való jogosultságommal, ha megszűnik a munkaviszonyom, és nem találok azonnal új állást?",WORK_009,n/a,subflow,True,rag/query_to_rerank,employment
,complex,,,0.6758067999908235,,,,,,,1.0,0.4,0.6666666666666666,,,,1.0,"Készíts teljes ügyintézési tervet a munkaviszonyom megszűnése után, a szükséges dokumentumokkal, ellátásokkal, határidőkkel és pénzügyi teendőkkel együtt!",WORK_010,n/a,subflow,True,rag/query_to_rerank,employment
